Name;Template;Reference;Category
1d-interleaved-parityfec;application/1d-interleaved-parityfec;[RFC6015];Application
3gpdash-qoe-report+xml;application/3gpdash-qoe-report+xml;[_3GPP][Ozgur_Oyman];Application
3gppHal+json;application/3gppHal+json;[_3GPP][Ulrich_Wiehe];Application
3gppHalForms+json;application/3gppHalForms+json;[_3GPP][Ulrich_Wiehe];Application
3gpp-ims+xml;application/3gpp-ims+xml;[_3GPP][John_M_Meredith];Application
A2L;application/A2L;[ASAM][Thomas_Thomsen];Application
ace+cbor;application/ace+cbor;[RFC9200];Application
ace+json;application/ace+json;[RFC-ietf-ace-mqtt-tls-profile-17];Application
activemessage;application/activemessage;[Ehud_Shapiro];Application
activity+json;application/activity+json;[W3C][Benjamin_Goering];Application
aif+cbor;application/aif+cbor;[RFC9237];Application
aif+json;application/aif+json;[RFC9237];Application
alto-cdni+json;application/alto-cdni+json;[RFC9241];Application
alto-cdnifilter+json;application/alto-cdnifilter+json;[RFC9241];Application
alto-costmap+json;application/alto-costmap+json;[RFC7285];Application
alto-costmapfilter+json;application/alto-costmapfilter+json;[RFC7285];Application
alto-directory+json;application/alto-directory+json;[RFC7285];Application
alto-endpointprop+json;application/alto-endpointprop+json;[RFC7285];Application
alto-endpointpropparams+json;application/alto-endpointpropparams+json;[RFC7285];Application
alto-endpointcost+json;application/alto-endpointcost+json;[RFC7285];Application
alto-endpointcostparams+json;application/alto-endpointcostparams+json;[RFC7285];Application
alto-error+json;application/alto-error+json;[RFC7285];Application
alto-networkmapfilter+json;application/alto-networkmapfilter+json;[RFC7285];Application
alto-networkmap+json;application/alto-networkmap+json;[RFC7285];Application
alto-propmap+json;application/alto-propmap+json;[RFC9240];Application
alto-propmapparams+json;application/alto-propmapparams+json;[RFC9240];Application
alto-updatestreamcontrol+json;application/alto-updatestreamcontrol+json;[RFC8895];Application
alto-updatestreamparams+json;application/alto-updatestreamparams+json;[RFC8895];Application
AML;application/AML;[ASAM][Thomas_Thomsen];Application
andrew-inset;application/andrew-inset;[Nathaniel_Borenstein];Application
applefile;application/applefile;[Patrik_Faltstrom];Application
at+jwt;application/at+jwt;[RFC9068];Application
ATF;application/ATF;[ASAM][Thomas_Thomsen];Application
ATFX;application/ATFX;[ASAM][Thomas_Thomsen];Application
atom+xml;application/atom+xml;[RFC4287][RFC5023];Application
atomcat+xml;application/atomcat+xml;[RFC5023];Application
atomdeleted+xml;application/atomdeleted+xml;[RFC6721];Application
atomicmail;application/atomicmail;[Nathaniel_Borenstein];Application
atomsvc+xml;application/atomsvc+xml;[RFC5023];Application
atsc-dwd+xml;application/atsc-dwd+xml;[ATSC];Application
atsc-dynamic-event-message;application/atsc-dynamic-event-message;[ATSC];Application
atsc-held+xml;application/atsc-held+xml;[ATSC];Application
atsc-rdt+json;application/atsc-rdt+json;[ATSC];Application
atsc-rsat+xml;application/atsc-rsat+xml;[ATSC];Application
ATXML;application/ATXML;[ASAM][Thomas_Thomsen];Application
auth-policy+xml;application/auth-policy+xml;[RFC4745];Application
automationml-aml+xml;application/automationml-aml+xml;[AutomationML_e.V.];Application
automationml-amlx+zip;application/automationml-amlx+zip;[AutomationML_e.V.];Application
bacnet-xdd+zip;application/bacnet-xdd+zip;[ASHRAE][Dave_Robin];Application
batch-SMTP;application/batch-SMTP;[RFC2442];Application
beep+xml;application/beep+xml;[RFC3080];Application
calendar+json;application/calendar+json;[RFC7265];Application
calendar+xml;application/calendar+xml;[RFC6321];Application
call-completion;application/call-completion;[RFC6910];Application
CALS-1840;application/CALS-1840;[RFC1895];Application
captive+json;application/captive+json;[RFC8908];Application
cbor;application/cbor;[RFC8949];Application
cbor-seq;application/cbor-seq;[RFC8742];Application
cccex;application/cccex;[_3GPP];Application
ccmp+xml;application/ccmp+xml;[RFC6503];Application
ccxml+xml;application/ccxml+xml;[RFC4267];Application
cda+xml;application/cda+xml;[HL7][Marc_Duteau];Application
CDFX+XML;application/CDFX+XML;[ASAM][Thomas_Thomsen];Application
cdmi-capability;application/cdmi-capability;[RFC6208];Application
cdmi-container;application/cdmi-container;[RFC6208];Application
cdmi-domain;application/cdmi-domain;[RFC6208];Application
cdmi-object;application/cdmi-object;[RFC6208];Application
cdmi-queue;application/cdmi-queue;[RFC6208];Application
cdni;application/cdni;[RFC7736];Application
CEA;application/CEA;[ASAM][Thomas_Thomsen];Application
cea-2018+xml;application/cea-2018+xml;[Gottfried_Zimmermann];Application
cellml+xml;application/cellml+xml;[RFC4708];Application
cfw;application/cfw;[RFC6230];Application
city+json;application/city+json;[OGC][Scott_Simmons];Application
clr;application/clr;[IMS_Global][Andy_Miller];Application
clue_info+xml;application/clue_info+xml;[RFC8846];Application
clue+xml;application/clue+xml;[RFC8847];Application
cms;application/cms;[RFC7193];Application
cnrp+xml;application/cnrp+xml;[RFC3367];Application
coap-group+json;application/coap-group+json;[RFC7390];Application
coap-payload;application/coap-payload;[RFC8075];Application
commonground;application/commonground;[David_Glazer];Application
concise-problem-details+cbor;application/concise-problem-details+cbor;[RFC9290, Section 6.3];Application
conference-info+xml;application/conference-info+xml;[RFC4575];Application
cpl+xml;application/cpl+xml;[RFC3880];Application
cose;application/cose;[RFC9052];Application
cose-key;application/cose-key;[RFC9052];Application
cose-key-set;application/cose-key-set;[RFC9052];Application
cose-x509;application/cose-x509;[RFC-ietf-cose-x509-09];Application
csrattrs;application/csrattrs;[RFC7030];Application
csta+xml;application/csta+xml;[Ecma_International_Helpdesk];Application
CSTAdata+xml;application/CSTAdata+xml;[Ecma_International_Helpdesk];Application
csvm+json;application/csvm+json;[W3C][Ivan_Herman];Application
cwl;application/cwl;[CWL_Project][Michael_R._Crusoe];Application
cwl+json;application/cwl+json;[CWL_Project][Michael_R._Crusoe];Application
cwt;application/cwt;[RFC8392];Application
cybercash;application/cybercash;[Donald_E._Eastlake_3rd];Application
dash+xml;application/dash+xml;[ISO-IEC_JTC1][Thomas_Stockhammer];Application
dash-patch+xml;application/dash-patch+xml;[ISO-IEC_JTC1];Application
dashdelta;application/dashdelta;[David_Furbeck];Application
davmount+xml;application/davmount+xml;[RFC4709];Application
dca-rft;application/dca-rft;[Larry_Campbell];Application
DCD;application/DCD;[ASAM][Thomas_Thomsen];Application
dec-dx;application/dec-dx;[Larry_Campbell];Application
dialog-info+xml;application/dialog-info+xml;[RFC4235];Application
dicom;application/dicom;[RFC3240];Application
dicom+json;application/dicom+json;[DICOM_Standard_Committee][David_Clunie];Application
dicom+xml;application/dicom+xml;[DICOM_Standard_Committee][David_Clunie];Application
DII;application/DII;[ASAM][Thomas_Thomsen];Application
DIT;application/DIT;[ASAM][Thomas_Thomsen];Application
dns;application/dns;[RFC4027];Application
dns+json;application/dns+json;[RFC8427];Application
dns-message;application/dns-message;[RFC8484];Application
dots+cbor;application/dots+cbor;[RFC9132];Application
dskpp+xml;application/dskpp+xml;[RFC6063];Application
