Name;Template;Reference;Category
1d-interleaved-parityfec;audio/1d-interleaved-parityfec;[RFC6015];Audio
32kadpcm;audio/32kadpcm;[RFC3802][RFC2421];Audio
3gpp;audio/3gpp;[RFC3839][RFC6381];Audio
3gpp2;audio/3gpp2;[RFC4393][RFC6381];Audio
aac;audio/aac;[ISO-IEC_JTC1][Max_Neuendorf];Audio
ac3;audio/ac3;[RFC4184];Audio
AMR;audio/AMR;[RFC4867];Audio
AMR-WB;audio/AMR-WB;[RFC4867];Audio
amr-wb+;audio/amr-wb+;[RFC4352];Audio
aptx;audio/aptx;[RFC7310];Audio
asc;audio/asc;[RFC6295];Audio
ATRAC-ADVANCED-LOSSLESS;audio/ATRAC-ADVANCED-LOSSLESS;[RFC5584];Audio
ATRAC-X;audio/ATRAC-X;[RFC5584];Audio
ATRAC3;audio/ATRAC3;[RFC5584];Audio
basic;audio/basic;[RFC2045][RFC2046];Audio
BV16;audio/BV16;[RFC4298];Audio
BV32;audio/BV32;[RFC4298];Audio
clearmode;audio/clearmode;[RFC4040];Audio
CN;audio/CN;[RFC3389];Audio
DAT12;audio/DAT12;[RFC3190];Audio
dls;audio/dls;[RFC4613];Audio
dsr-es201108;audio/dsr-es201108;[RFC3557];Audio
dsr-es202050;audio/dsr-es202050;[RFC4060];Audio
dsr-es202211;audio/dsr-es202211;[RFC4060];Audio
dsr-es202212;audio/dsr-es202212;[RFC4060];Audio
DV;audio/DV;[RFC6469];Audio
DVI4;audio/DVI4;[RFC4856];Audio
eac3;audio/eac3;[RFC4598];Audio
encaprtp;audio/encaprtp;[RFC6849];Audio
EVRC;audio/EVRC;[RFC4788];Audio
EVRC-QCP;audio/EVRC-QCP;[RFC3625];Audio
EVRC0;audio/EVRC0;[RFC4788];Audio
EVRC1;audio/EVRC1;[RFC4788];Audio
EVRCB;audio/EVRCB;[RFC5188];Audio
EVRCB0;audio/EVRCB0;[RFC5188];Audio
EVRCB1;audio/EVRCB1;[RFC4788];Audio
EVRCNW;audio/EVRCNW;[RFC6884];Audio
EVRCNW0;audio/EVRCNW0;[RFC6884];Audio
EVRCNW1;audio/EVRCNW1;[RFC6884];Audio
EVRCWB;audio/EVRCWB;[RFC5188];Audio
EVRCWB0;audio/EVRCWB0;[RFC5188];Audio
EVRCWB1;audio/EVRCWB1;[RFC5188];Audio
EVS;audio/EVS;[_3GPP][Kyunghun_Jung];Audio
example;audio/example;[RFC4735];Audio
flexfec;audio/flexfec;[RFC8627];Audio
fwdred;audio/fwdred;[RFC6354];Audio
G711-0;audio/G711-0;[RFC7655];Audio
G719;audio/G719;[RFC5404][RFC Errata 3245];Audio
G7221;audio/G7221;[RFC5577];Audio
G722;audio/G722;[RFC4856];Audio
G723;audio/G723;[RFC4856];Audio
G726-16;audio/G726-16;[RFC4856];Audio
G726-24;audio/G726-24;[RFC4856];Audio
G726-32;audio/G726-32;[RFC4856];Audio
G726-40;audio/G726-40;[RFC4856];Audio
G728;audio/G728;[RFC4856];Audio
G729;audio/G729;[RFC4856];Audio
G7291;audio/G7291;[RFC4749][RFC5459];Audio
G729D;audio/G729D;[RFC4856];Audio
G729E;audio/G729E;[RFC4856];Audio
GSM;audio/GSM;[RFC4856];Audio
GSM-EFR;audio/GSM-EFR;[RFC4856];Audio
GSM-HR-08;audio/GSM-HR-08;[RFC5993];Audio
iLBC;audio/iLBC;[RFC3952];Audio
ip-mr_v2.5;audio/ip-mr_v2.5;[RFC6262];Audio
L8;audio/L8;[RFC4856];Audio
L16;audio/L16;[RFC4856];Audio
L20;audio/L20;[RFC3190];Audio
L24;audio/L24;[RFC3190];Audio
LPC;audio/LPC;[RFC4856];Audio
MELP;audio/MELP;[RFC8130];Audio
MELP600;audio/MELP600;[RFC8130];Audio
MELP1200;audio/MELP1200;[RFC8130];Audio
MELP2400;audio/MELP2400;[RFC8130];Audio
mhas;audio/mhas;[ISO-IEC_JTC1][Nils_Peters][Ingo_Hofmann];Audio
mobile-xmf;audio/mobile-xmf;[RFC4723];Audio
MPA;audio/MPA;[RFC3555];Audio
mp4;audio/mp4;[RFC4337][RFC6381];Audio
MP4A-LATM;audio/MP4A-LATM;[RFC6416];Audio
mpa-robust;audio/mpa-robust;[RFC5219];Audio
mpeg;audio/mpeg;[RFC3003];Audio
mpeg4-generic;audio/mpeg4-generic;[RFC3640][RFC5691][RFC6295];Audio
ogg;audio/ogg;[RFC5334][RFC7845];Audio
opus;audio/opus;[RFC7587];Audio
parityfec;audio/parityfec;[RFC3009];Audio
PCMA;audio/PCMA;[RFC4856];Audio
PCMA-WB;audio/PCMA-WB;[RFC5391];Audio
PCMU;audio/PCMU;[RFC4856];Audio
PCMU-WB;audio/PCMU-WB;[RFC5391];Audio
prs.sid;audio/prs.sid;[Linus_Walleij];Audio
QCELP;audio/QCELP;[RFC3555][RFC3625];Audio
raptorfec;audio/raptorfec;[RFC6682];Audio
RED;audio/RED;[RFC3555];Audio
rtp-enc-aescm128;audio/rtp-enc-aescm128;[_3GPP];Audio
rtploopback;audio/rtploopback;[RFC6849];Audio
rtp-midi;audio/rtp-midi;[RFC6295];Audio
rtx;audio/rtx;[RFC4588];Audio
scip;audio/scip;[SCIP][Michael_Faller][Daniel_Hanson];Audio
SMV;audio/SMV;[RFC3558];Audio
SMV0;audio/SMV0;[RFC3558];Audio
SMV-QCP;audio/SMV-QCP;[RFC3625];Audio
sofa;audio/sofa;[AES][Piotr_Majdak];Audio
sp-midi;audio/sp-midi;[Athan_Billias][MIDI_Association];Audio
speex;audio/speex;[RFC5574];Audio
t140c;audio/t140c;[RFC4351];Audio
t38;audio/t38;[RFC4612];Audio
telephone-event;audio/telephone-event;[RFC4733];Audio
TETRA_ACELP;audio/TETRA_ACELP;[ETSI][Miguel_Angel_Reina_Ortega];Audio
TETRA_ACELP_BB;audio/TETRA_ACELP_BB;[ETSI][Miguel_Angel_Reina_Ortega];Audio
tone;audio/tone;[RFC4733];Audio
TSVCIS;audio/TSVCIS;[RFC8817];Audio
UEMCLIP;audio/UEMCLIP;[RFC5686];Audio
ulpfec;audio/ulpfec;[RFC5109];Audio
usac;audio/usac;[ISO-IEC_JTC1][Max_Neuendorf];Audio
VDVI;audio/VDVI;[RFC4856];Audio
VMR-WB;audio/VMR-WB;[RFC4348][RFC4424];Audio
vnd.3gpp.iufp;audio/vnd.3gpp.iufp;[Thomas_Belling];Audio
vnd.4SB;audio/vnd.4SB;[Serge_De_Jaham];Audio
vnd.audiokoz;audio/vnd.audiokoz;[Vicki_DeBarros];Audio
vnd.CELP;audio/vnd.CELP;[Serge_De_Jaham];Audio
vnd.cisco.nse;audio/vnd.cisco.nse;[Rajesh_Kumar];Audio
vnd.cmles.radio-events;audio/vnd.cmles.radio-events;[Jean-Philippe_Goulet];Audio
vnd.cns.anp1;audio/vnd.cns.anp1;[Ann_McLaughlin];Audio
vnd.cns.inf1;audio/vnd.cns.inf1;[Ann_McLaughlin];Audio
vnd.dece.audio;audio/vnd.dece.audio;[Michael_A_Dolan];Audio
vnd.digital-winds;audio/vnd.digital-winds;[Armands_Strazds];Audio
vnd.dlna.adts;audio/vnd.dlna.adts;[Edwin_Heredia];Audio
vnd.dolby.heaac.1;audio/vnd.dolby.heaac.1;[Steve_Hattersley];Audio
vnd.dolby.heaac.2;audio/vnd.dolby.heaac.2;[Steve_Hattersley];Audio
vnd.dolby.mlp;audio/vnd.dolby.mlp;[Mike_Ward];Audio
vnd.dolby.mps;audio/vnd.dolby.mps;[Steve_Hattersley];Audio
vnd.dolby.pl2;audio/vnd.dolby.pl2;[Steve_Hattersley];Audio
vnd.dolby.pl2x;audio/vnd.dolby.pl2x;[Steve_Hattersley];Audio
vnd.dolby.pl2z;audio/vnd.dolby.pl2z;[Steve_Hattersley];Audio
vnd.dolby.pulse.1;audio/vnd.dolby.pulse.1;[Steve_Hattersley];Audio
vnd.dra;audio/vnd.dra;[Jiang_Tian];Audio
vnd.dts;audio/vnd.dts;[William_Zou];Audio
vnd.dts.hd;audio/vnd.dts.hd;[William_Zou];Audio
vnd.dts.uhd;audio/vnd.dts.uhd;[Phillip_Maness];Audio
vnd.dvb.file;audio/vnd.dvb.file;[Peter_Siebert];Audio
vnd.everad.plj;audio/vnd.everad.plj;[Shay_Cicelsky];Audio
vnd.hns.audio;audio/vnd.hns.audio;[Swaminathan];Audio
vnd.lucent.voice;audio/vnd.lucent.voice;[Greg_Vaudreuil];Audio
vnd.ms-playready.media.pya;audio/vnd.ms-playready.media.pya;[Steve_DiAcetis];Audio
vnd.nokia.mobile-xmf;audio/vnd.nokia.mobile-xmf;[Nokia];Audio
vnd.nortel.vbk;audio/vnd.nortel.vbk;[Glenn_Parsons];Audio
vnd.nuera.ecelp4800;audio/vnd.nuera.ecelp4800;[Michael_Fox];Audio
vnd.nuera.ecelp7470;audio/vnd.nuera.ecelp7470;[Michael_Fox];Audio
vnd.nuera.ecelp9600;audio/vnd.nuera.ecelp9600;[Michael_Fox];Audio
vnd.octel.sbc;audio/vnd.octel.sbc;[Greg_Vaudreuil];Audio
vnd.presonus.multitrack;audio/vnd.presonus.multitrack;[Matthias_Juwan];Audio
vnd.qcelp - DEPRECATED in favor of audio/qcelp;audio/vnd.qcelp;[RFC3625];Audio
vnd.rhetorex.32kadpcm;audio/vnd.rhetorex.32kadpcm;[Greg_Vaudreuil];Audio
vnd.rip;audio/vnd.rip;[Martin_Dawe];Audio
vnd.sealedmedia.softseal.mpeg;audio/vnd.sealedmedia.softseal.mpeg;[David_Petersen];Audio
vnd.vmx.cvsd;audio/vnd.vmx.cvsd;[Greg_Vaudreuil];Audio
vorbis;audio/vorbis;[RFC5215];Audio
vorbis-config;audio/vorbis-config;[RFC5215];Audio
aces;image/aces;[SMPTE][Howard_Lukk];Image
apng;image/apng;[W3C][W3C_PNG_Working_Group];Image
avci;image/avci;[ISO-IEC_JTC1][David_Singer];Image
avcs;image/avcs;[ISO-IEC_JTC1][David_Singer];Image
avif;image/avif;[Alliance_for_Open_Media][Cyril_Concolato];Image
bmp;image/bmp;[RFC7903];Image
cgm;image/cgm;[Alan_Francis];Image
dicom-rle;image/dicom-rle;[DICOM_Standard_Committee][David_Clunie];Image
dpx;image/dpx;[SMPTE][SMPTE_Director_of_Standards_Development];Image
emf;image/emf;[RFC7903];Image
example;image/example;[RFC4735];Image
fits;image/fits;[RFC4047];Image
g3fax;image/g3fax;[RFC1494];Image
gif;;[RFC2045][RFC2046];Image
heic;image/heic;[ISO-IEC_JTC1][David_Singer];Image
heic-sequence;image/heic-sequence;[ISO-IEC_JTC1][David_Singer];Image
heif;image/heif;[ISO-IEC_JTC1][David_Singer];Image
heif-sequence;image/heif-sequence;[ISO-IEC_JTC1][David_Singer];Image
hej2k;image/hej2k;[ISO-IEC_JTC1][ITU-T];Image
hsj2;image/hsj2;[ISO-IEC_JTC1][ITU-T];Image
ief;;[RFC1314];Image
jls;image/jls;[DICOM_Standard_Committee][David_Clunie];Image
jp2;image/jp2;[RFC3745];Image
jpeg;;[RFC2045][RFC2046];Image
jph;image/jph;[ISO-IEC_JTC1][ITU-T];Image
jphc;image/jphc;[ISO-IEC_JTC1][ITU-T];Image
jpm;image/jpm;[RFC3745];Image
jpx;image/jpx;[RFC3745];Image
jxr;image/jxr;[ISO-IEC_JTC1][ITU-T];Image
jxrA;image/jxrA;[ISO-IEC_JTC1][ITU-T];Image
jxrS;image/jxrS;[ISO-IEC_JTC1][ITU-T];Image
jxs;image/jxs;[ISO-IEC_JTC1];Image
jxsc;image/jxsc;[ISO-IEC_JTC1];Image
jxsi;image/jxsi;[ISO-IEC_JTC1];Image
jxss;image/jxss;[ISO-IEC_JTC1];Image
ktx;image/ktx;[Khronos][Mark_Callow];Image
ktx2;image/ktx2;[Khronos][Mark_Callow];Image
naplps;image/naplps;[Ilya_Ferber];Image
png;image/png;[W3C][PNG_Working_Group];Image
prs.btif;image/prs.btif;[Ben_Simon];Image
prs.pti;image/prs.pti;[Juern_Laun];Image
pwg-raster;image/pwg-raster;[Michael_Sweet];Image
svg+xml;image/svg+xml;[W3C][http://www.w3.org/TR/SVG/mimereg.html];Image
t38;image/t38;[RFC3362];Image
tiff;image/tiff;[RFC3302];Image
tiff-fx;image/tiff-fx;[RFC3950];Image
vnd.adobe.photoshop;image/vnd.adobe.photoshop;[Kim_Scarborough];Image
vnd.airzip.accelerator.azv;image/vnd.airzip.accelerator.azv;[Gary_Clueit];Image
vnd.cns.inf2;image/vnd.cns.inf2;[Ann_McLaughlin];Image
vnd.dece.graphic;image/vnd.dece.graphic;[Michael_A_Dolan];Image
vnd.djvu;image/vnd.djvu;[Leon_Bottou];Image
vnd.dwg;image/vnd.dwg;[Jodi_Moline];Image
vnd.dxf;image/vnd.dxf;[Jodi_Moline];Image
vnd.dvb.subtitle;image/vnd.dvb.subtitle;[Peter_Siebert][Michael_Lagally];Image
vnd.fastbidsheet;image/vnd.fastbidsheet;[Scott_Becker];Image
vnd.fpx;image/vnd.fpx;[Marc_Douglas_Spencer];Image
vnd.fst;image/vnd.fst;[Arild_Fuldseth];Image
vnd.fujixerox.edmics-mmr;image/vnd.fujixerox.edmics-mmr;[Masanori_Onda];Image
vnd.fujixerox.edmics-rlc;image/vnd.fujixerox.edmics-rlc;[Masanori_Onda];Image
vnd.globalgraphics.pgb;image/vnd.globalgraphics.pgb;[Martin_Bailey];Image
